Unnamed: 0,timestamp,mac,boardtype,boardid,temp_max,temp_min,temp_avg,light_max,light_min,light_avg,humidity_min,humidity_max,humidity_avg,model,latitude,longitude,elevation,location,rowid,Position,cluster_label
136,12/15/2014 02:30:00 PM,0013a20040b5b337,1,511,17.7,17.7,17.7,13.0,13.0,13.0,60.8,60.8,60.8,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215143000,,0
139,12/15/2014 02:40:00 PM,0013a20040b5b337,1,511,17.4,17.4,17.4,13.0,13.0,13.0,60.9,60.9,60.9,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215144000,,0
142,12/15/2014 02:50:00 PM,0013a20040b5b337,1,511,17.4,17.4,17.4,13.0,13.0,13.0,61.7,61.7,61.7,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215145000,,0
145,12/15/2014 03:00:00 PM,0013a20040b5b337,1,511,17.4,17.4,17.4,13.1,13.1,13.1,61.4,61.4,61.4,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215150000,,0
147,12/15/2014 03:15:00 PM,0013a20040b5b337,1,511,17.4,17.4,17.4,13.0,13.0,13.0,61.7,61.7,61.7,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215151500,,0
149,12/15/2014 03:25:00 PM,0013a20040b5b337,1,511,17.7,17.7,17.7,12.9,12.9,12.9,62.0,62.0,62.0,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215152500,,0
152,12/15/2014 03:35:00 PM,0013a20040b5b337,1,511,17.7,17.7,17.7,13.0,13.0,13.0,61.7,61.7,61.7,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215153500,,0
155,12/15/2014 03:45:00 PM,0013a20040b5b337,1,511,17.7,17.7,17.7,12.9,12.9,12.9,61.5,61.5,61.5,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215154500,,0
158,12/15/2014 03:55:00 PM,0013a20040b5b337,1,511,17.4,17.4,17.4,12.6,12.6,12.6,60.3,60.3,60.3,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215155500,,0
160,12/15/2014 04:05:00 PM,0013a20040b5b337,1,511,17.4,17.4,17.4,12.7,12.7,12.7,61.2,61.2,61.2,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215160500,,0
162,12/15/2014 04:15:00 PM,0013a20040b5b337,1,511,17.4,17.4,17.4,12.8,12.8,12.8,60.9,60.9,60.9,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215161500,,0
165,12/15/2014 04:25:00 PM,0013a20040b5b337,1,511,17.4,17.4,17.4,12.3,12.3,12.3,61.1,61.1,61.1,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215162500,,0
167,12/15/2014 04:35:00 PM,0013a20040b5b337,1,511,17.4,17.4,17.4,12.2,12.2,12.2,61.7,61.7,61.7,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215163500,,0
169,12/15/2014 04:45:00 PM,0013a20040b5b337,1,511,17.1,17.1,17.1,12.3,12.3,12.3,60.9,60.9,60.9,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215164500,,0
172,12/15/2014 04:55:00 PM,0013a20040b5b337,1,511,17.1,17.1,17.1,12.3,12.3,12.3,60.9,60.9,60.9,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215165500,,0
175,12/15/2014 05:05:00 PM,0013a20040b5b337,1,511,17.1,17.1,17.1,12.8,12.8,12.8,60.1,60.1,60.1,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215170500,,0
178,12/15/2014 05:15:00 PM,0013a20040b5b337,1,511,16.5,16.5,16.5,12.4,12.4,12.4,60.3,60.3,60.3,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215171500,,0
180,12/15/2014 05:25:00 PM,0013a20040b5b337,1,511,16.5,16.5,16.5,12.7,12.7,12.7,60.9,60.9,60.9,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215172500,,0
183,12/15/2014 05:35:00 PM,0013a20040b5b337,1,511,16.5,16.5,16.5,12.7,12.7,12.7,60.9,60.9,60.9,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215173500,,0
186,12/15/2014 05:45:00 PM,0013a20040b5b337,1,511,16.5,16.5,16.5,12.6,12.6,12.6,61.1,61.1,61.1,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215174500,,0
190,12/15/2014 06:05:00 PM,0013a20040b5b337,1,511,16.1,16.1,16.1,12.9,12.9,12.9,61.5,61.5,61.5,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215180500,,0
195,12/15/2014 06:30:00 PM,0013a20040b5b337,1,511,16.1,16.1,16.1,18.6,18.6,18.6,62.2,62.2,62.2,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215183000,,0
201,12/15/2014 07:00:00 PM,0013a20040b5b337,1,511,15.8,15.8,15.8,80.4,80.4,80.4,62.3,62.3,62.3,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215190000,,0
216,12/15/2014 08:40:00 PM,0013a20040b5b337,1,511,16.5,16.5,16.5,94.1,94.1,94.1,61.1,61.1,61.1,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215204000,,0
218,12/15/2014 08:50:00 PM,0013a20040b5b337,1,511,16.8,16.8,16.8,94.1,94.1,94.1,60.9,60.9,60.9,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215205000,,0
222,12/15/2014 09:10:00 PM,0013a20040b5b337,1,511,17.4,17.4,17.4,94.3,94.3,94.3,58.7,58.7,58.7,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215211000,,0
225,12/15/2014 09:20:00 PM,0013a20040b5b337,1,511,17.4,17.4,17.4,94.5,94.5,94.5,57.9,57.9,57.9,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215212000,,0
227,12/15/2014 09:30:00 PM,0013a20040b5b337,1,511,17.7,17.7,17.7,94.6,94.6,94.6,57.8,57.8,57.8,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215213000,,0
230,12/15/2014 09:40:00 PM,0013a20040b5b337,1,511,18.1,18.1,18.1,94.8,94.8,94.8,57.1,57.1,57.1,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215214000,,0
234,12/15/2014 10:05:00 PM,0013a20040b5b337,1,511,18.4,18.4,18.4,95.4,95.4,95.4,57.8,57.8,57.8,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215220500,,0
236,12/15/2014 10:15:00 PM,0013a20040b5b337,1,511,18.4,18.4,18.4,95.4,95.4,95.4,57.8,57.8,57.8,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215221500,,0
241,12/15/2014 10:55:00 PM,0013a20040b5b337,1,511,19.0,19.0,19.0,95.2,95.2,95.2,55.9,55.9,55.9,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215225500,,0
248,12/15/2014 11:35:00 PM,0013a20040b5b337,1,511,21.0,21.0,21.0,97.2,97.2,97.2,51.1,51.1,51.1,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215233500,,0
251,12/15/2014 11:45:00 PM,0013a20040b5b337,1,511,25.8,25.8,25.8,97.8,97.8,97.8,43.4,43.4,43.4,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215234500,,0
256,12/16/2014 12:05:00 AM,0013a20040b5b337,1,511,25.8,25.8,25.8,97.9,97.9,97.9,41.0,41.0,41.0,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216000500,,0
259,12/16/2014 12:15:00 AM,0013a20040b5b337,1,511,26.5,26.5,26.5,97.9,97.9,97.9,39.9,39.9,39.9,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216001500,,0
263,12/16/2014 12:45:00 AM,0013a20040b5b337,1,511,27.7,27.7,27.7,98.0,98.0,98.0,38.7,38.7,38.7,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216004500,,0
265,12/16/2014 12:55:00 AM,0013a20040b5b337,1,511,27.1,27.1,27.1,98.0,98.0,98.0,39.3,39.3,39.3,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216005500,,0
275,12/16/2014 02:00:00 AM,0013a20040b5b337,1,511,30.0,30.0,30.0,98.1,98.1,98.1,31.6,31.6,31.6,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216020000,,0
280,12/16/2014 02:30:00 AM,0013a20040b5b337,1,511,31.6,31.6,31.6,97.5,97.5,97.5,12.7,12.7,12.7,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216023000,,0
283,12/16/2014 02:50:00 AM,0013a20040b5b337,1,511,32.3,32.3,32.3,98.4,98.4,98.4,12.2,12.2,12.2,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216025000,,0
286,12/16/2014 03:00:00 AM,0013a20040b5b337,1,511,32.3,32.3,32.3,97.4,97.4,97.4,11.4,11.4,11.4,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216030000,,0
295,12/16/2014 03:20:00 AM,0013a20040b5b337,1,511,31.3,31.3,31.3,97.9,97.9,97.9,12.8,12.8,12.8,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216032000,,0
298,12/16/2014 03:30:00 AM,0013a20040b5b337,1,511,32.3,32.3,32.3,97.5,97.5,97.5,13.0,13.0,13.0,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216033000,,0
310,12/16/2014 03:50:00 AM,0013a20040b5b337,1,511,31.9,31.9,31.9,98.6,98.6,98.6,11.4,11.4,11.4,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216035000,,0
313,12/16/2014 04:00:00 AM,0013a20040b5b337,1,511,32.6,32.6,32.6,97.4,97.4,97.4,11.4,11.4,11.4,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216040000,,0
316,12/16/2014 04:10:00 AM,0013a20040b5b337,1,511,31.9,31.9,31.9,98.6,98.6,98.6,11.6,11.6,11.6,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216041000,,0
319,12/16/2014 04:25:00 AM,0013a20040b5b337,1,511,31.3,31.3,31.3,96.7,96.7,96.7,11.7,11.7,11.7,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216042500,,0
322,12/16/2014 04:35:00 AM,0013a20040b5b337,1,511,31.3,31.3,31.3,97.0,97.0,97.0,11.9,11.9,11.9,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216043500,,0
330,12/16/2014 04:45:00 AM,0013a20040b5b337,1,511,31.0,31.0,31.0,97.2,97.2,97.2,12.2,12.2,12.2,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216044500,,0
337,12/16/2014 04:55:00 AM,0013a20040b5b337,1,511,30.3,30.3,30.3,96.5,96.5,96.5,11.6,11.6,11.6,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216045500,,0
343,12/16/2014 05:05:00 AM,0013a20040b5b337,1,511,30.3,30.3,30.3,97.1,97.1,97.1,11.7,11.7,11.7,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216050500,,0
350,12/16/2014 05:15:00 AM,0013a20040b5b337,1,511,30.0,30.0,30.0,96.9,96.9,96.9,11.2,11.2,11.2,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216051500,,0
357,12/16/2014 05:25:00 AM,0013a20040b5b337,1,511,29.4,29.4,29.4,96.4,96.4,96.4,11.9,11.9,11.9,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216052500,,0
365,12/16/2014 05:35:00 AM,0013a20040b5b337,1,511,28.7,28.7,28.7,96.7,96.7,96.7,13.3,13.3,13.3,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216053500,,0
373,12/16/2014 05:45:00 AM,0013a20040b5b337,1,511,23.5,23.5,23.5,96.6,96.6,96.6,34.6,34.6,34.6,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216054500,,0
380,12/16/2014 05:55:00 AM,0013a20040b5b337,1,511,22.6,22.6,22.6,97.6,97.6,97.6,37.6,37.6,37.6,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216055500,,0
401,12/16/2014 06:25:00 AM,0013a20040b5b337,1,511,20.6,20.6,20.6,97.1,97.1,97.1,43.1,43.1,43.1,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216062500,,0
408,12/16/2014 06:35:00 AM,0013a20040b5b337,1,511,21.0,21.0,21.0,98.1,98.1,98.1,39.6,39.6,39.6,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216063500,,0
416,12/16/2014 06:45:00 AM,0013a20040b5b337,1,511,22.3,22.3,22.3,98.7,98.7,98.7,33.3,33.3,33.3,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216064500,,0
424,12/16/2014 06:55:00 AM,0013a20040b5b337,1,511,22.6,22.6,22.6,98.6,98.6,98.6,31.4,31.4,31.4,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216065500,,0
431,12/16/2014 07:05:00 AM,0013a20040b5b337,1,511,21.6,21.6,21.6,96.6,96.6,96.6,35.2,35.2,35.2,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216070500,,0
439,12/16/2014 07:15:00 AM,0013a20040b5b337,1,511,21.3,21.3,21.3,98.6,98.6,98.6,36.8,36.8,36.8,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216071500,,0
447,12/16/2014 07:25:00 AM,0013a20040b5b337,1,511,20.3,20.3,20.3,97.8,97.8,97.8,35.2,35.2,35.2,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216072500,,0
454,12/16/2014 07:40:00 AM,0013a20040b5b337,1,511,20.0,20.0,20.0,97.0,97.0,97.0,34.3,34.3,34.3,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216074000,,0
468,12/16/2014 08:00:00 AM,0013a20040b5b337,1,511,19.4,19.4,19.4,96.9,96.9,96.9,35.8,35.8,35.8,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216080000,,0
476,12/16/2014 08:10:00 AM,0013a20040b5b337,1,511,17.4,17.4,17.4,95.0,95.0,95.0,41.4,41.4,41.4,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216081000,,0
482,12/16/2014 08:20:00 AM,0013a20040b5b337,1,511,17.7,17.7,17.7,94.7,94.7,94.7,35.1,35.1,35.1,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216082000,,0
490,12/16/2014 08:30:00 AM,0013a20040b5b337,1,511,18.1,18.1,18.1,98.3,98.3,98.3,33.6,33.6,33.6,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216083000,,0
498,12/16/2014 08:40:00 AM,0013a20040b5b337,1,511,19.7,19.7,19.7,98.2,98.2,98.2,30.6,30.6,30.6,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216084000,,0
511,12/16/2014 09:00:00 AM,0013a20040b5b337,1,511,18.4,18.4,18.4,94.4,94.4,94.4,34.3,34.3,34.3,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216090000,,0
518,12/16/2014 09:10:00 AM,0013a20040b5b337,1,511,18.1,18.1,18.1,90.7,90.7,90.7,29.7,29.7,29.7,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216091000,,0
525,12/16/2014 09:20:00 AM,0013a20040b5b337,1,511,18.1,18.1,18.1,88.7,88.7,88.7,27.0,27.0,27.0,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216092000,,0
532,12/16/2014 09:30:00 AM,0013a20040b5b337,1,511,17.7,17.7,17.7,82.1,82.1,82.1,29.2,29.2,29.2,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216093000,,0
540,12/16/2014 09:40:00 AM,0013a20040b5b337,1,511,17.7,17.7,17.7,67.8,67.8,67.8,31.9,31.9,31.9,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216094000,,0
553,12/16/2014 10:00:00 AM,0013a20040b5b337,1,511,16.8,16.8,16.8,25.8,25.8,25.8,32.2,32.2,32.2,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216100000,,0
560,12/16/2014 10:10:00 AM,0013a20040b5b337,1,511,16.5,16.5,16.5,16.0,16.0,16.0,32.7,32.7,32.7,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216101000,,0
568,12/16/2014 10:20:00 AM,0013a20040b5b337,1,511,16.5,16.5,16.5,15.1,15.1,15.1,34.6,34.6,34.6,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216102000,,0
581,12/16/2014 10:40:00 AM,0013a20040b5b337,1,511,15.8,15.8,15.8,14.0,14.0,14.0,33.6,33.6,33.6,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216104000,,0
589,12/16/2014 10:55:00 AM,0013a20040b5b337,1,511,15.8,15.8,15.8,14.2,14.2,14.2,33.9,33.9,33.9,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216105500,,0
601,12/16/2014 11:15:00 AM,0013a20040b5b337,1,511,15.5,15.5,15.5,14.2,14.2,14.2,34.6,34.6,34.6,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216111500,,0
607,12/16/2014 11:25:00 AM,0013a20040b5b337,1,511,15.2,15.2,15.2,14.0,14.0,14.0,36.2,36.2,36.2,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216112500,,0
615,12/16/2014 11:35:00 AM,0013a20040b5b337,1,511,15.2,15.2,15.2,13.9,13.9,13.9,36.2,36.2,36.2,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216113500,,0
