Unnamed: 0,timestamp,mac,boardtype,boardid,temp_max,temp_min,temp_avg,light_max,light_min,light_avg,humidity_min,humidity_max,humidity_avg,model,latitude,longitude,elevation,location,rowid,Position,cluster_label
14,12/15/2014 04:00:00 AM,0013a20040b31583,1,509,22.9,22.9,22.9,97.8,97.8,97.8,46.6,46.6,46.6,ENV,-37.8199043,144.9404851,,Docklands Library,509-20141215040000,,0
18,12/15/2014 04:10:00 AM,0013a20040b31583,1,509,22.6,22.6,22.6,97.6,97.6,97.6,47.3,47.3,47.3,ENV,-37.8199043,144.9404851,,Docklands Library,509-20141215041000,,0
19,12/15/2014 04:20:00 AM,0013a20040b31583,1,509,22.9,22.9,22.9,97.0,97.0,97.0,46.9,46.9,46.9,ENV,-37.8199043,144.9404851,,Docklands Library,509-20141215042000,,0
20,12/15/2014 04:30:00 AM,0013a20040b31583,1,509,21.9,21.9,21.9,96.7,96.7,96.7,49.1,49.1,49.1,ENV,-37.8199043,144.9404851,,Docklands Library,509-20141215043000,,0
22,12/15/2014 05:20:00 AM,0013a20040b31583,1,509,22.9,22.9,22.9,96.4,96.4,96.4,48.1,48.1,48.1,ENV,-37.8199043,144.9404851,,Docklands Library,509-20141215052000,,0
24,12/15/2014 05:45:00 AM,0013a20040b31583,1,509,21.6,21.6,21.6,94.2,94.2,94.2,52.2,52.2,52.2,ENV,-37.8199043,144.9404851,,Docklands Library,509-20141215054500,,0
27,12/15/2014 06:05:00 AM,0013a20040b31583,1,509,21.3,21.3,21.3,94.7,94.7,94.7,52.6,52.6,52.6,ENV,-37.8199043,144.9404851,,Docklands Library,509-20141215060500,,0
30,12/15/2014 06:15:00 AM,0013a20040b31583,1,509,22.3,22.3,22.3,97.5,97.5,97.5,49.6,49.6,49.6,ENV,-37.8199043,144.9404851,,Docklands Library,509-20141215061500,,0
32,12/15/2014 06:25:00 AM,0013a20040b31583,1,509,23.5,23.5,23.5,97.7,97.7,97.7,46.7,46.7,46.7,ENV,-37.8199043,144.9404851,,Docklands Library,509-20141215062500,,0
33,12/15/2014 06:35:00 AM,0013a20040b31583,1,509,23.9,23.9,23.9,97.8,97.8,97.8,46.1,46.1,46.1,ENV,-37.8199043,144.9404851,,Docklands Library,509-20141215063500,,0
37,12/15/2014 06:55:00 AM,0013a20040b31583,1,509,22.9,22.9,22.9,95.8,95.8,95.8,47.8,47.8,47.8,ENV,-37.8199043,144.9404851,,Docklands Library,509-20141215065500,,0
39,12/15/2014 07:05:00 AM,0013a20040b31583,1,509,23.2,23.2,23.2,97.8,97.8,97.8,48.8,48.8,48.8,ENV,-37.8199043,144.9404851,,Docklands Library,509-20141215070500,,0
40,12/15/2014 07:15:00 AM,0013a20040b31583,1,509,23.9,23.9,23.9,97.5,97.5,97.5,47.5,47.5,47.5,ENV,-37.8199043,144.9404851,,Docklands Library,509-20141215071500,,0
42,12/15/2014 07:25:00 AM,0013a20040b31583,1,509,23.5,23.5,23.5,95.5,95.5,95.5,49.1,49.1,49.1,ENV,-37.8199043,144.9404851,,Docklands Library,509-20141215072500,,0
