Unnamed: 0,timestamp,mac,boardtype,boardid,temp_max,temp_min,temp_avg,light_max,light_min,light_avg,humidity_min,humidity_max,humidity_avg,model,latitude,longitude,elevation,location,rowid,Position,cluster_label
13,12/15/2014 04:00:00 AM,0013a20040b31571,1,510,24.2,24.2,24.2,97.6,97.6,97.6,43.4,43.4,43.4,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141215040000,,0
17,12/15/2014 04:10:00 AM,0013a20040b31571,1,510,24.5,24.5,24.5,98.2,98.2,98.2,42.6,42.6,42.6,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141215041000,,0
1236,12/17/2014 03:45:00 AM,0013a20040b31571,1,510,21.0,21.0,21.0,89.5,89.5,89.5,31.9,31.9,31.9,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217034500,,0
1244,12/17/2014 03:55:00 AM,0013a20040b31571,1,510,20.6,20.6,20.6,89.3,89.3,89.3,32.2,32.2,32.2,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217035500,,0
1253,12/17/2014 04:05:00 AM,0013a20040b31571,1,510,20.6,20.6,20.6,89.6,89.6,89.6,32.5,32.5,32.5,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217040500,,0
1260,12/17/2014 04:15:00 AM,0013a20040b31571,1,510,20.3,20.3,20.3,90.1,90.1,90.1,32.4,32.4,32.4,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217041500,,0
1268,12/17/2014 04:25:00 AM,0013a20040b31571,1,510,20.3,20.3,20.3,89.9,89.9,89.9,32.2,32.2,32.2,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217042500,,0
1276,12/17/2014 04:35:00 AM,0013a20040b31571,1,510,20.3,20.3,20.3,89.9,89.9,89.9,32.8,32.8,32.8,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217043500,,0
1284,12/17/2014 04:45:00 AM,0013a20040b31571,1,510,20.3,20.3,20.3,90.2,90.2,90.2,33.2,33.2,33.2,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217044500,,0
1291,12/17/2014 04:55:00 AM,0013a20040b31571,1,510,20.3,20.3,20.3,90.0,90.0,90.0,33.2,33.2,33.2,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217045500,,0
1296,12/17/2014 05:05:00 AM,0013a20040b31571,1,510,20.3,20.3,20.3,90.2,90.2,90.2,32.8,32.8,32.8,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217050500,,0
1304,12/17/2014 05:15:00 AM,0013a20040b31571,1,510,20.6,20.6,20.6,85.4,85.4,85.4,33.0,33.0,33.0,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217051500,,0
1310,12/17/2014 05:25:00 AM,0013a20040b31571,1,510,21.0,21.0,21.0,90.4,90.4,90.4,32.5,32.5,32.5,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217052500,,0
1317,12/17/2014 05:40:00 AM,0013a20040b31571,1,510,21.0,21.0,21.0,89.7,89.7,89.7,32.8,32.8,32.8,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217054000,,0
1324,12/17/2014 05:50:00 AM,0013a20040b31571,1,510,21.0,21.0,21.0,89.3,89.3,89.3,32.8,32.8,32.8,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217055000,,0
1332,12/17/2014 06:00:00 AM,0013a20040b31571,1,510,21.3,21.3,21.3,89.9,89.9,89.9,32.4,32.4,32.4,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217060000,,0
1339,12/17/2014 06:10:00 AM,0013a20040b31571,1,510,21.3,21.3,21.3,89.2,89.2,89.2,32.2,32.2,32.2,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217061000,,0
1346,12/17/2014 06:20:00 AM,0013a20040b31571,1,510,21.3,21.3,21.3,89.1,89.1,89.1,31.9,31.9,31.9,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217062000,,0
1353,12/17/2014 06:30:00 AM,0013a20040b31571,1,510,21.6,21.6,21.6,88.6,88.6,88.6,32.5,32.5,32.5,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217063000,,0
1368,12/17/2014 06:50:00 AM,0013a20040b31571,1,510,21.3,21.3,21.3,88.6,88.6,88.6,33.0,33.0,33.0,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217065000,,0
1377,12/17/2014 07:00:00 AM,0013a20040b31571,1,510,21.3,21.3,21.3,88.3,88.3,88.3,33.9,33.9,33.9,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217070000,,0
1383,12/17/2014 07:10:00 AM,0013a20040b31571,1,510,20.6,20.6,20.6,98.0,98.0,98.0,35.1,35.1,35.1,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217071000,,0
1392,12/17/2014 07:20:00 AM,0013a20040b31571,1,510,26.1,26.1,26.1,98.1,98.1,98.1,34.1,34.1,34.1,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217072000,,0
1400,12/17/2014 07:30:00 AM,0013a20040b31571,1,510,25.5,25.5,25.5,98.0,98.0,98.0,34.3,34.3,34.3,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217073000,,0
1409,12/17/2014 07:40:00 AM,0013a20040b31571,1,510,25.2,25.2,25.2,98.1,98.1,98.1,35.1,35.1,35.1,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217074000,,0
1418,12/17/2014 07:50:00 AM,0013a20040b31571,1,510,24.2,24.2,24.2,98.0,98.0,98.0,35.2,35.2,35.2,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217075000,,0
1426,12/17/2014 08:00:00 AM,0013a20040b31571,1,510,23.9,23.9,23.9,97.9,97.9,97.9,35.2,35.2,35.2,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217080000,,0
1434,12/17/2014 08:10:00 AM,0013a20040b31571,1,510,22.9,22.9,22.9,97.8,97.8,97.8,35.5,35.5,35.5,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217081000,,0
1443,12/17/2014 08:20:00 AM,0013a20040b31571,1,510,22.6,22.6,22.6,97.7,97.7,97.7,36.5,36.5,36.5,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217082000,,0
1452,12/17/2014 08:30:00 AM,0013a20040b31571,1,510,19.4,19.4,19.4,94.4,94.4,94.4,38.8,38.8,38.8,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217083000,,0
1460,12/17/2014 08:40:00 AM,0013a20040b31571,1,510,19.0,19.0,19.0,93.6,93.6,93.6,37.1,37.1,37.1,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217084000,,0
1469,12/17/2014 08:55:00 AM,0013a20040b31571,1,510,18.7,18.7,18.7,93.5,93.5,93.5,38.2,38.2,38.2,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217085500,,0
1477,12/17/2014 09:05:00 AM,0013a20040b31571,1,510,18.4,18.4,18.4,91.6,91.6,91.6,38.5,38.5,38.5,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217090500,,0
1490,12/17/2014 09:25:00 AM,0013a20040b31571,1,510,17.4,17.4,17.4,84.9,84.9,84.9,37.6,37.6,37.6,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217092500,,0
1498,12/17/2014 09:35:00 AM,0013a20040b31571,1,510,17.1,17.1,17.1,76.1,76.1,76.1,38.5,38.5,38.5,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217093500,,0
1506,12/17/2014 09:45:00 AM,0013a20040b31571,1,510,16.8,16.8,16.8,59.2,59.2,59.2,39.0,39.0,39.0,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217094500,,0
1513,12/17/2014 09:55:00 AM,0013a20040b31571,1,510,16.5,16.5,16.5,28.0,28.0,28.0,39.2,39.2,39.2,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217095500,,0
1520,12/17/2014 10:05:00 AM,0013a20040b31571,1,510,16.5,16.5,16.5,7.7,7.7,7.7,39.9,39.9,39.9,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217100500,,0
1527,12/17/2014 10:15:00 AM,0013a20040b31571,1,510,15.8,15.8,15.8,2.6,2.6,2.6,40.6,40.6,40.6,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217101500,,0
1533,12/17/2014 10:25:00 AM,0013a20040b31571,1,510,15.8,15.8,15.8,1.6,1.6,1.6,40.9,40.9,40.9,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217102500,,0
1538,12/17/2014 10:35:00 AM,0013a20040b31571,1,510,15.5,15.5,15.5,1.3,1.3,1.3,41.4,41.4,41.4,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217103500,,0
1544,12/17/2014 10:45:00 AM,0013a20040b31571,1,510,15.5,15.5,15.5,1.3,1.3,1.3,42.6,42.6,42.6,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217104500,,0
1557,12/17/2014 11:05:00 AM,0013a20040b31571,1,510,14.8,14.8,14.8,1.4,1.4,1.4,43.1,43.1,43.1,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217110500,,0
1566,12/17/2014 11:15:00 AM,0013a20040b31571,1,510,14.8,14.8,14.8,1.5,1.5,1.5,43.4,43.4,43.4,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217111500,,0
1574,12/17/2014 11:25:00 AM,0013a20040b31571,1,510,14.8,14.8,14.8,1.4,1.4,1.4,43.4,43.4,43.4,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217112500,,0
1581,12/17/2014 11:35:00 AM,0013a20040b31571,1,510,14.8,14.8,14.8,1.3,1.3,1.3,43.9,43.9,43.9,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217113500,,0
1588,12/17/2014 11:45:00 AM,0013a20040b31571,1,510,14.5,14.5,14.5,1.4,1.4,1.4,43.7,43.7,43.7,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217114500,,0
1596,12/17/2014 11:55:00 AM,0013a20040b31571,1,510,14.5,14.5,14.5,1.5,1.5,1.5,43.6,43.6,43.6,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217115500,,0
1608,12/17/2014 12:20:00 PM,0013a20040b31571,1,510,14.2,14.2,14.2,1.5,1.5,1.5,45.3,45.3,45.3,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217122000,,0
1614,12/17/2014 12:30:00 PM,0013a20040b31571,1,510,14.5,14.5,14.5,1.5,1.5,1.5,43.3,43.3,43.3,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217123000,,0
1623,12/17/2014 12:40:00 PM,0013a20040b31571,1,510,14.2,14.2,14.2,1.4,1.4,1.4,43.4,43.4,43.4,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217124000,,0
1631,12/17/2014 12:50:00 PM,0013a20040b31571,1,510,14.2,14.2,14.2,1.4,1.4,1.4,42.6,42.6,42.6,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217125000,,0
1638,12/17/2014 01:00:00 PM,0013a20040b31571,1,510,14.2,14.2,14.2,1.4,1.4,1.4,42.0,42.0,42.0,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217130000,,0
1644,12/17/2014 01:10:00 PM,0013a20040b31571,1,510,14.2,14.2,14.2,1.4,1.4,1.4,42.0,42.0,42.0,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217131000,,0
1651,12/17/2014 01:20:00 PM,0013a20040b31571,1,510,14.2,14.2,14.2,1.5,1.5,1.5,42.5,42.5,42.5,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217132000,,0
1657,12/17/2014 01:30:00 PM,0013a20040b31571,1,510,13.9,13.9,13.9,1.5,1.5,1.5,42.6,42.6,42.6,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217133000,,0
1664,12/17/2014 01:40:00 PM,0013a20040b31571,1,510,13.9,13.9,13.9,1.5,1.5,1.5,43.4,43.4,43.4,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217134000,,0
1671,12/17/2014 01:50:00 PM,0013a20040b31571,1,510,13.5,13.5,13.5,1.4,1.4,1.4,43.6,43.6,43.6,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217135000,,0
1677,12/17/2014 02:00:00 PM,0013a20040b31571,1,510,13.5,13.5,13.5,1.4,1.4,1.4,43.6,43.6,43.6,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217140000,,0
1685,12/17/2014 02:10:00 PM,0013a20040b31571,1,510,13.5,13.5,13.5,1.4,1.4,1.4,42.9,42.9,42.9,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217141000,,0
1691,12/17/2014 02:20:00 PM,0013a20040b31571,1,510,13.5,13.5,13.5,1.4,1.4,1.4,44.0,44.0,44.0,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217142000,,0
1697,12/17/2014 02:30:00 PM,0013a20040b31571,1,510,13.5,13.5,13.5,1.5,1.5,1.5,44.7,44.7,44.7,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217143000,,0
1704,12/17/2014 02:40:00 PM,0013a20040b31571,1,510,13.2,13.2,13.2,1.4,1.4,1.4,44.2,44.2,44.2,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217144000,,0
1710,12/17/2014 02:50:00 PM,0013a20040b31571,1,510,13.2,13.2,13.2,1.4,1.4,1.4,45.3,45.3,45.3,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217145000,,0
1716,12/17/2014 03:00:00 PM,0013a20040b31571,1,510,13.5,13.5,13.5,1.4,1.4,1.4,43.7,43.7,43.7,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217150000,,0
1723,12/17/2014 03:10:00 PM,0013a20040b31571,1,510,13.5,13.5,13.5,1.4,1.4,1.4,44.2,44.2,44.2,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217151000,,0
1730,12/17/2014 03:25:00 PM,0013a20040b31571,1,510,13.5,13.5,13.5,1.4,1.4,1.4,43.6,43.6,43.6,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217152500,,0
1737,12/17/2014 03:35:00 PM,0013a20040b31571,1,510,13.2,13.2,13.2,1.3,1.3,1.3,44.4,44.4,44.4,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217153500,,0
1743,12/17/2014 03:45:00 PM,0013a20040b31571,1,510,13.2,13.2,13.2,1.4,1.4,1.4,44.0,44.0,44.0,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217154500,,0
1750,12/17/2014 03:55:00 PM,0013a20040b31571,1,510,13.2,13.2,13.2,1.4,1.4,1.4,45.1,45.1,45.1,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217155500,,0
1756,12/17/2014 04:05:00 PM,0013a20040b31571,1,510,12.9,12.9,12.9,1.4,1.4,1.4,45.8,45.8,45.8,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217160500,,0
1763,12/17/2014 04:15:00 PM,0013a20040b31571,1,510,12.6,12.6,12.6,1.4,1.4,1.4,46.4,46.4,46.4,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217161500,,0
1770,12/17/2014 04:25:00 PM,0013a20040b31571,1,510,12.3,12.3,12.3,1.5,1.5,1.5,47.7,47.7,47.7,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217162500,,0
1778,12/17/2014 04:35:00 PM,0013a20040b31571,1,510,12.3,12.3,12.3,1.5,1.5,1.5,49.2,49.2,49.2,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217163500,,0
1784,12/17/2014 04:45:00 PM,0013a20040b31571,1,510,11.9,11.9,11.9,1.5,1.5,1.5,49.4,49.4,49.4,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217164500,,0
1790,12/17/2014 04:55:00 PM,0013a20040b31571,1,510,11.6,11.6,11.6,1.4,1.4,1.4,49.9,49.9,49.9,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217165500,,0
1796,12/17/2014 05:05:00 PM,0013a20040b31571,1,510,11.6,11.6,11.6,1.5,1.5,1.5,49.4,49.4,49.4,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217170500,,0
1803,12/17/2014 05:15:00 PM,0013a20040b31571,1,510,11.6,11.6,11.6,1.5,1.5,1.5,50.0,50.0,50.0,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217171500,,0
1810,12/17/2014 05:25:00 PM,0013a20040b31571,1,510,11.6,11.6,11.6,1.5,1.5,1.5,50.2,50.2,50.2,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217172500,,0
1817,12/17/2014 05:35:00 PM,0013a20040b31571,1,510,11.6,11.6,11.6,1.5,1.5,1.5,49.7,49.7,49.7,ENV,-37.8197121,144.94132530000005,,Docklands Library,510-20141217173500,,0
